@relation hotelsalesdataset

@attribute Sales_Id numeric
@attribute CheckIn {12/31/2017,1/2/2018,1/3/2018,1/5/2018,1/6/2018,1/9/2018,1/13/2018,1/14/2018,1/16/2018,1/19/2018,1/22/2018,1/23/2018,1/26/2018,1/30/2018,2/2/2018,2/6/2018,2/7/2018,2/8/2018,2/12/2018,2/13/2018,2/16/2018,2/19/2018,2/20/2018,2/21/2018,2/22/2018,2/24/2018,2/25/2018,2/26/2018,2/27/2018,2/28/2018,3/2/2018,3/4/2018,3/8/2018,3/9/2018,3/10/2018,3/13/2018,3/15/2018,3/18/2018,3/22/2018,3/26/2018,3/27/2018,3/29/2018,3/30/2018,3/31/2018,4/4/2018,4/7/2018,4/8/2018,4/12/2018,4/15/2018,4/17/2018,4/18/2018,4/21/2018,4/25/2018,4/27/2018,4/30/2018,5/7/2018,5/8/2018,5/11/2018,5/12/2018,5/13/2018,5/14/2018,5/17/2018,5/21/2018,5/24/2018,5/26/2018,5/27/2018,1/4/2018,1/18/2018,1/25/2018,1/27/2018,1/31/2018,2/1/2018,2/5/2018,2/9/2018,2/23/2018,3/3/2018,3/6/2018,3/7/2018,3/16/2018,3/19/2018,3/23/2018,4/1/2018,4/5/2018,4/9/2018,4/13/2018,4/16/2018,4/23/2018,4/26/2018,5/4/2018,5/6/2018,5/19/2018,5/22/2018,5/30/2018,1/10/2018,1/11/2018,1/17/2018,1/29/2018,2/4/2018,2/11/2018,2/17/2018,3/17/2018,3/20/2018,3/21/2018,4/6/2018,4/10/2018,4/11/2018,4/20/2018,4/22/2018,4/24/2018,4/28/2018,5/10/2018,5/15/2018,5/16/2018,5/18/2018,5/29/2018,1/8/2018,1/20/2018,1/24/2018,2/3/2018,2/10/2018,3/5/2018,3/24/2018,4/2/2018,5/3/2018,5/20/2018,12/28/2017,1/12/2018,1/15/2018,2/15/2018,3/1/2018,3/14/2018,3/28/2018,4/3/2018,4/19/2018,4/29/2018,5/9/2018,5/31/2018,2/14/2018,3/11/2018,3/12/2018,5/1/2018,5/25/2018,5/28/2018,5/2/2018,5/5/2018,3/25/2018,4/14/2018,1/1/2018,2/18/2018,12/30/2017,1/21/2018,5/23/2018,1/28/2018,1/7/2018,12/13/2017,11/30/2017,10/25/2017,12/15/2017,12/29/2017}
@attribute CheckOut {1/1/2018,1/3/2018,1/4/2018,1/6/2018,1/7/2018,1/10/2018,1/14/2018,1/15/2018,1/19/2018,1/22/2018,1/23/2018,1/26/2018,1/28/2018,2/2/2018,2/6/2018,2/7/2018,2/8/2018,2/12/2018,2/13/2018,2/16/2018,2/18/2018,2/20/2018,2/21/2018,2/22/2018,2/23/2018,2/25/2018,2/26/2018,2/27/2018,2/28/2018,3/2/2018,3/4/2018,3/8/2018,3/9/2018,3/10/2018,3/11/2018,3/14/2018,3/18/2018,3/22/2018,3/26/2018,3/27/2018,3/28/2018,3/30/2018,3/31/2018,4/4/2018,4/7/2018,4/8/2018,4/12/2018,4/15/2018,4/17/2018,4/18/2018,4/21/2018,4/24/2018,4/27/2018,4/30/2018,5/4/2018,5/8/2018,5/9/2018,5/12/2018,5/13/2018,5/14/2018,5/17/2018,5/21/2018,5/23/2018,5/26/2018,5/27/2018,5/31/2018,1/5/2018,1/27/2018,2/1/2018,2/4/2018,2/9/2018,2/15/2018,2/24/2018,3/1/2018,3/7/2018,3/13/2018,3/19/2018,3/23/2018,4/1/2018,4/5/2018,4/10/2018,4/22/2018,4/26/2018,5/1/2018,5/6/2018,5/11/2018,5/18/2018,5/22/2018,5/25/2018,6/2/2018,1/11/2018,2/5/2018,2/11/2018,2/17/2018,3/3/2018,3/12/2018,3/17/2018,3/20/2018,3/21/2018,4/11/2018,4/13/2018,4/19/2018,4/28/2018,5/2/2018,5/10/2018,5/16/2018,5/28/2018,5/30/2018,1/12/2018,1/21/2018,1/24/2018,1/29/2018,2/3/2018,2/10/2018,3/6/2018,3/25/2018,3/29/2018,4/2/2018,4/16/2018,4/20/2018,4/29/2018,5/3/2018,5/7/2018,1/2/2018,1/13/2018,1/20/2018,1/25/2018,1/30/2018,2/14/2018,3/15/2018,4/3/2018,4/9/2018,4/23/2018,4/25/2018,5/5/2018,5/19/2018,6/1/2018,1/9/2018,1/16/2018,1/17/2018,1/18/2018,2/19/2018,3/5/2018,3/16/2018,4/6/2018,5/15/2018,1/31/2018,4/14/2018,5/24/2018,5/20/2018,6/3/2018,1/8/2018,3/24/2018,6/4/2018,5/29/2018,6/6/2018,6/5/2018,6/7/2018}
@attribute SystemEntry_Date {1/1/2018,1/2/2018,1/4/2018,1/6/2018,1/7/2018,1/10/2018,1/14/2018,1/15/2018,1/17/2018,1/20/2018,1/23/2018,1/24/2018,1/27/2018,1/30/2018,2/3/2018,2/6/2018,2/8/2018,2/13/2018,2/16/2018,2/17/2018,2/20/2018,2/21/2018,2/22/2018,2/23/2018,2/24/2018,2/25/2018,2/27/2018,2/28/2018,3/1/2018,3/3/2018,3/4/2018,3/8/2018,3/10/2018,3/14/2018,3/16/2018,3/19/2018,3/22/2018,3/26/2018,3/28/2018,3/30/2018,3/31/2018,4/4/2018,4/7/2018,4/9/2018,4/12/2018,4/16/2018,4/18/2018,4/19/2018,4/23/2018,4/25/2018,4/27/2018,4/30/2018,5/8/2018,5/9/2018,5/12/2018,5/14/2018,5/15/2018,5/18/2018,5/21/2018,5/26/2018,5/27/2018,5/28/2018,1/5/2018,1/19/2018,1/26/2018,2/1/2018,2/2/2018,2/7/2018,2/10/2018,3/7/2018,3/9/2018,3/17/2018,3/24/2018,4/1/2018,4/6/2018,4/13/2018,4/28/2018,5/5/2018,5/20/2018,5/22/2018,5/31/2018,1/11/2018,1/12/2018,1/18/2018,2/4/2018,2/12/2018,3/21/2018,3/27/2018,4/10/2018,4/11/2018,4/17/2018,4/20/2018,4/22/2018,4/26/2018,5/7/2018,5/11/2018,5/17/2018,5/19/2018,5/29/2018,1/9/2018,1/21/2018,1/25/2018,2/9/2018,2/11/2018,3/5/2018,3/18/2018,4/3/2018,4/21/2018,5/4/2018,1/13/2018,1/16/2018,2/14/2018,3/2/2018,3/12/2018,3/13/2018,3/15/2018,3/29/2018,4/5/2018,4/24/2018,4/29/2018,5/13/2018,5/23/2018,3/23/2018,5/1/2018,5/16/2018,1/31/2018,2/18/2018,5/3/2018,5/6/2018,5/10/2018,1/3/2018,3/25/2018,4/14/2018,4/15/2018,2/15/2018,2/19/2018,3/11/2018,2/5/2018,3/20/2018,5/24/2018,1/28/2018,1/29/2018,5/2/2018,5/25/2018,1/8/2018,5/30/2018,4/8/2018,4/2/2018,3/6/2018,2/26/2018,1/22/2018}
@attribute Room_Id numeric
@attribute Room_NO numeric
@attribute Hotel_ID numeric
@attribute Hotel_Name {'Lime Group Hotels'}
@attribute Subhotel_ID numeric
@attribute Subhotel_Name {'Hotel Prime','Hotel Supreme','Hotel Extra','Hotel Star','Hotel Oxford','Hotel Lime','Hotel Fab','Hotel Pride','Hotel Sunny','Hotel Quality Inn'}
@attribute BookingSource_ID numeric
@attribute BookingSource_Name {Booking.Com,'Trip Advisor'}
@attribute GUEST_REG_NO numeric
@attribute No_Of_Persons numeric
@attribute 'Rate PerNight' numeric
@attribute Bar_sale numeric
@attribute Breakfast_Sale numeric
@attribute OtherIncome_Sale numeric
@attribute otherIncome_comment {ADAPTOR,'LATE CHECK OUT',Gym-Fitness,'Swimming And Gym','SMOKING FINE','PARKING CHARGES','DAY USE',LUGGAGE,WIFI,'EXTRA ACCOMODATION',UPGRADE,'ADVANCE PAYMENT',O/I,'EXTRA STAY',RESTAURANT,bff,'BANK TRANSFER',PHOTOCOPIES}

@data
1109902,12/31/2017,1/1/2018,1/1/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,371060,2,119,17,180,148,ADAPTOR
1110180,1/2/2018,1/3/2018,1/2/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,371319,2,40,107.8,388,50,'LATE CHECK OUT'
1110825,1/3/2018,1/4/2018,1/4/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,371901,1,40,9,22,30,'LATE CHECK OUT'
1111714,1/5/2018,1/6/2018,1/6/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,372698,2,40,71.01,220.77,22,Gym-Fitness
1112121,1/6/2018,1/7/2018,1/7/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,373081,2,45,45.69,256.36,148.06,'Swimming And Gym'
1113267,1/9/2018,1/10/2018,1/10/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',374145,2,32.4,40.72,39,148.06,'Swimming And Gym'
1115122,1/13/2018,1/14/2018,1/14/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',375875,2,70,166.06,107,187.21,'Swimming And Gym'
1115496,1/14/2018,1/15/2018,1/15/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',376218,2,27.54,131.41,18,95.86,'Swimming And Gym'
1116230,1/16/2018,1/19/2018,1/17/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',376904,2,26.14,9.5,24,101.95,'Swimming And Gym'
1117775,1/19/2018,1/22/2018,1/20/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,378345,2,41.37,78.65,118,460.09,'Swimming And Gym'
1119149,1/22/2018,1/23/2018,1/23/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',379631,2,45,46.05,262.34,208.09,'Swimming And Gym'
1119371,1/23/2018,1/26/2018,1/24/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,379846,2,47.67,8,136.61,293.43,'Swimming And Gym'
1120999,1/26/2018,1/28/2018,1/27/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,381359,2,53.55,70,183.42,30,'LATE CHECK OUT'
1122386,1/30/2018,2/2/2018,1/30/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',382626,1,47,376.03,33,40,'LATE CHECK OUT'
1124288,2/2/2018,2/6/2018,2/3/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,384365,1,56.75,117.95,97,120,'SMOKING FINE'
1125868,2/6/2018,2/7/2018,2/6/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',385824,2,49,77.85,269.85,0,'Swimming And Gym'
1126445,2/7/2018,2/8/2018,2/8/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',386367,2,55,127.6,63,0,'Swimming And Gym'
1126690,2/8/2018,2/12/2018,2/8/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,386582,2,42.29,17.2,35.97,0,'Swimming And Gym'
1129062,2/12/2018,2/13/2018,2/13/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,388758,2,60,35.5,77,0,'Swimming And Gym'
1129350,2/13/2018,2/16/2018,2/16/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',389013,2,65.73,202.25,305.78,0,'Swimming And Gym'
1131052,2/16/2018,2/18/2018,2/17/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,390540,2,45.05,57.75,128.8,0,'Swimming And Gym'
1132297,2/19/2018,2/20/2018,2/20/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,391677,2,39,30.44,41,0,'Swimming And Gym'
1132780,2/20/2018,2/21/2018,2/21/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',392134,2,42,52.55,56.61,0,'Swimming And Gym'
1133408,2/21/2018,2/22/2018,2/22/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,392696,2,42,8.95,265.29,92,?
1133708,2/22/2018,2/23/2018,2/23/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',392975,2,40.67,140.29,76.41,34,?
1134420,2/24/2018,2/25/2018,2/24/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,393633,2,99,416.39,83.91,60,?
1135260,2/25/2018,2/26/2018,2/25/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,394430,2,40,125.65,10,25,?
1135784,2/26/2018,2/27/2018,2/27/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',394920,2,39,63.4,13,40,?
1136449,2/27/2018,2/28/2018,2/28/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,395535,2,42,96.2,123.39,83,?
1137017,2/28/2018,3/2/2018,3/1/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,396067,2,42,33.25,27.94,99,?
1138027,3/2/2018,3/4/2018,3/3/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,396988,2,46.75,60.57,13,132,'PARKING CHARGES'
1138927,3/4/2018,3/8/2018,3/4/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,397830,2,38.5,5,4.5,36,'PARKING CHARGES'
1141062,3/8/2018,3/9/2018,3/8/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',399798,2,55,121.04,124.37,1394,?
1141606,3/9/2018,3/10/2018,3/10/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',400292,2,79,120,137.37,40,'PARKING CHARGES'
1142164,3/10/2018,3/11/2018,3/10/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,400769,2,55,36.75,17,40,'PARKING CHARGES'
1143520,3/13/2018,3/14/2018,3/14/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',226,'Trip Advisor',401976,2,46.52,99.65,9.99,48,'LATE CHECK OUT'
1144575,3/15/2018,3/18/2018,3/16/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,402940,2,46.75,20.5,45,206.63,'Swimming And Gym'
1146076,3/18/2018,3/22/2018,3/19/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,404301,2,36.2,47.1,8,206.63,'Swimming And Gym'
1148007,3/22/2018,3/26/2018,3/22/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,406022,2,48.03,146.26,168.87,257.52,'Swimming And Gym'
1149934,3/26/2018,3/27/2018,3/26/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,407818,2,50,121.15,126,248.67,'Swimming And Gym'
1150585,3/27/2018,3/28/2018,3/28/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,408389,2,45,17,269.79,0,'Swimming And Gym'
1151445,3/29/2018,3/30/2018,3/30/2018,4563,11,20,'Lime Group Hotels',482,'Hotel Prime',224,Booking.Com,409134,2,38,11,77.93,0,'Swimming And Gym'
